"Regra","Antecedente","Consequente","support","confidence","coverage","lift","count"
"{PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,STRAWBERRY CERAMIC TRINKET BOX} => {CHARLOTTE BAG SUKI DESIGN}","{PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,STRAWBERRY CERAMIC TRINKET BOX}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8333,0.006,13.6612,20
"{LUNCH BAG SUKI DESIGN,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG SUKI DESIGN,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8333,0.006,13.6612,20
"{JUMBO BAG PINK VINTAGE PAISLEY,LUNCH BAG CARS BLUE,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO BAG PINK VINTAGE PAISLEY,LUNCH BAG CARS BLUE,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8333,0.006,13.6612,20
"{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG CARS BLUE,PACK OF 72 RETROSPOT CAKE CASES} => {WOODLAND CHARLOTTE BAG}","{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG CARS BLUE,PACK OF 72 RETROSPOT CAKE CASES}","{WOODLAND CHARLOTTE BAG}",0.0053,1,0.0053,13.6054,21
"{6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES,LUNCH BAG CARS BLUE} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES,LUNCH BAG CARS BLUE}","{WOODLAND CHARLOTTE BAG}",0.0053,1,0.0053,13.6054,21
"{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG CARS BLUE,REGENCY CAKESTAND 3 TIER} => {WOODLAND CHARLOTTE BAG}","{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG CARS BLUE,REGENCY CAKESTAND 3 TIER}","{WOODLAND CHARLOTTE BAG}",0.005,1,0.005,13.6054,20
"{LUNCH BAG CARS BLUE,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG CARS BLUE,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.006,0.8276,0.0073,13.567,24
"{6 RIBBONS RUSTIC CHARM,JUMBO BAG RED RETROSPOT,RED TOADSTOOL LED NIGHT LIGHT} => {ROSES REGENCY TEACUP AND SAUCER}","{6 RIBBONS RUSTIC CHARM,JUMBO BAG RED RETROSPOT,RED TOADSTOOL LED NIGHT LIGHT}","{ROSES REGENCY TEACUP AND SAUCER}",0.0053,0.84,0.0063,13.44,21
"{LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0078,0.8158,0.0095,13.3736,31
"{PACK OF 72 SKULL CAKE CASES,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{PACK OF 72 SKULL CAKE CASES,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0055,0.8148,0.0068,13.3576,22
"{6 RIBBONS RUSTIC CHARM,NATURAL SLATE HEART CHALKBOARD,PACK OF 72 RETROSPOT CAKE CASES} => {ROSES REGENCY TEACUP AND SAUCER}","{6 RIBBONS RUSTIC CHARM,NATURAL SLATE HEART CHALKBOARD,PACK OF 72 RETROSPOT CAKE CASES}","{ROSES REGENCY TEACUP AND SAUCER}",0.005,0.8333,0.006,13.3333,20
"{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.005,0.8696,0.0058,13.3267,20
"{CHOCOLATE HOT WATER BOTTLE,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{CHOCOLATE HOT WATER BOTTLE,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.005,0.8696,0.0058,13.3267,20
"{NATURAL SLATE HEART CHALKBOARD,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{NATURAL SLATE HEART CHALKBOARD,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.005,0.8696,0.0058,13.3267,20
"{60 TEATIME FAIRY CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,WOODLAND CHARLOTTE BAG} => {HOT WATER BOTTLE TEA AND SYMPATHY}","{60 TEATIME FAIRY CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,WOODLAND CHARLOTTE BAG}","{HOT WATER BOTTLE TEA AND SYMPATHY}",0.0053,0.9545,0.0055,13.2576,21
"{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG CARS BLUE,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG CARS BLUE,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.8077,0.0065,13.2409,21
"{JUMBO BAG RED RETROSPOT,VINTAGE SNAP CARDS,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO BAG RED RETROSPOT,VINTAGE SNAP CARDS,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.8077,0.0065,13.2409,21
"{6 RIBBONS RUSTIC CHARM,RECYCLING BAG RETROSPOT,ROSES REGENCY TEACUP AND SAUCER} => {RED TOADSTOOL LED NIGHT LIGHT}","{6 RIBBONS RUSTIC CHARM,RECYCLING BAG RETROSPOT,ROSES REGENCY TEACUP AND SAUCER}","{RED TOADSTOOL LED NIGHT LIGHT}",0.005,0.9091,0.0055,13.1752,20
"{PAPER CHAIN KIT 50'S CHRISTMAS,STRAWBERRY CERAMIC TRINKET BOX,WOODLAND CHARLOTTE BAG} => {6 RIBBONS RUSTIC CHARM}","{PAPER CHAIN KIT 50'S CHRISTMAS,STRAWBERRY CERAMIC TRINKET BOX,WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM}",0.005,0.9524,0.0053,13.1363,20
"{6 RIBBONS RUSTIC CHARM,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{6 RIBBONS RUSTIC CHARM,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.006,0.8,0.0075,13.1148,24
"{LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.006,0.8,0.0075,13.1148,24
"{LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.006,0.8,0.0075,13.1148,24
"{LUNCH BAG WOODLAND,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG WOODLAND,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8,0.0062,13.1148,20
"{6 RIBBONS RUSTIC CHARM,LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES} => {CHARLOTTE BAG SUKI DESIGN}","{6 RIBBONS RUSTIC CHARM,LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8,0.0062,13.1148,20
"{PACK OF 72 RETROSPOT CAKE CASES,PARTY BUNTING,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{PACK OF 72 RETROSPOT CAKE CASES,PARTY BUNTING,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8,0.0062,13.1148,20
"{LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0068,0.7941,0.0085,13.0183,27
"{LUNCH BAG BLACK SKULL.,LUNCH BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG BLACK SKULL.,LUNCH BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0068,0.7941,0.0085,13.0183,27
"{LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0068,0.7941,0.0085,13.0183,27
"{LUNCH BAG SPACEBOY DESIGN,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG SPACEBOY DESIGN,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0068,0.7941,0.0085,13.0183,27
"{CHOCOLATE HOT WATER BOTTLE,PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER} => {CHARLOTTE BAG SUKI DESIGN}","{CHOCOLATE HOT WATER BOTTLE,PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER}","{CHARLOTTE BAG SUKI DESIGN}",0.0058,0.7931,0.0072,13.0017,23
"{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS} => {WOODLAND CHARLOTTE BAG}","{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS}","{WOODLAND CHARLOTTE BAG}",0.0053,0.9545,0.0055,12.987,21
"{60 TEATIME FAIRY CAKE CASES,HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS} => {WOODLAND CHARLOTTE BAG}","{60 TEATIME FAIRY CAKE CASES,HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS}","{WOODLAND CHARLOTTE BAG}",0.0053,0.9545,0.0055,12.987,21
"{6 RIBBONS RUSTIC CHARM,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{WOODLAND CHARLOTTE BAG}",0.0053,0.9545,0.0055,12.987,21
"{6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,LUNCH BAG CARS BLUE} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,LUNCH BAG CARS BLUE}","{WOODLAND CHARLOTTE BAG}",0.0053,0.9545,0.0055,12.987,21
"{HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.0055,0.8462,0.0065,12.9679,22
"{CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT VINTAGE CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT VINTAGE CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{WOODLAND CHARLOTTE BAG}",0.005,0.9524,0.0053,12.9576,20
"{CHARLOTTE BAG SUKI DESIGN,HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS} => {WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN,HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS}","{WOODLAND CHARLOTTE BAG}",0.005,0.9524,0.0053,12.9576,20
"{6 RIBBONS RUSTIC CHARM,CHOCOLATE HOT WATER BOTTLE,PACK OF 72 RETROSPOT CAKE CASES} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,CHOCOLATE HOT WATER BOTTLE,PACK OF 72 RETROSPOT CAKE CASES}","{WOODLAND CHARLOTTE BAG}",0.005,0.9524,0.0053,12.9576,20
"{6 RIBBONS RUSTIC CHARM,CHOCOLATE HOT WATER BOTTLE,LUNCH BAG BLACK SKULL.} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,CHOCOLATE HOT WATER BOTTLE,LUNCH BAG BLACK SKULL.}","{WOODLAND CHARLOTTE BAG}",0.005,0.9524,0.0053,12.9576,20
"{6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS}","{WOODLAND CHARLOTTE BAG}",0.005,0.9524,0.0053,12.9576,20
"{6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,LUNCH BAG WOODLAND} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,LUNCH BAG WOODLAND}","{WOODLAND CHARLOTTE BAG}",0.005,0.9524,0.0053,12.9576,20
"{6 RIBBONS RUSTIC CHARM,RECIPE BOX PANTRY YELLOW DESIGN,RED TOADSTOOL LED NIGHT LIGHT} => {ROSES REGENCY TEACUP AND SAUCER}","{6 RIBBONS RUSTIC CHARM,RECIPE BOX PANTRY YELLOW DESIGN,RED TOADSTOOL LED NIGHT LIGHT}","{ROSES REGENCY TEACUP AND SAUCER}",0.005,0.8,0.0062,12.8,20
"{HEART OF WICKER SMALL,JUMBO BAG WOODLAND ANIMALS,WHITE HANGING HEART T-LIGHT HOLDER} => {RECYCLING BAG RETROSPOT}","{HEART OF WICKER SMALL,JUMBO BAG WOODLAND ANIMALS,WHITE HANGING HEART T-LIGHT HOLDER}","{RECYCLING BAG RETROSPOT}",0.005,0.8696,0.0058,12.7877,20
"{JUMBO BAG WOODLAND ANIMALS,PAPER CHAIN KIT 50'S CHRISTMAS,WOODLAND CHARLOTTE BAG} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{JUMBO BAG WOODLAND ANIMALS,PAPER CHAIN KIT 50'S CHRISTMAS,WOODLAND CHARLOTTE BAG}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.005,0.8333,0.006,12.7714,20
"{CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.005,0.8333,0.006,12.7714,20
"{6 RIBBONS RUSTIC CHARM,NATURAL SLATE HEART CHALKBOARD,ROSES REGENCY TEACUP AND SAUCER} => {RED TOADSTOOL LED NIGHT LIGHT}","{6 RIBBONS RUSTIC CHARM,NATURAL SLATE HEART CHALKBOARD,ROSES REGENCY TEACUP AND SAUCER}","{RED TOADSTOOL LED NIGHT LIGHT}",0.0055,0.88,0.0062,12.7536,22
"{LUNCH BAG WOODLAND,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG WOODLAND,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.7778,0.0068,12.7505,21
"{PACK OF 72 RETROSPOT CAKE CASES,STRAWBERRY CERAMIC TRINKET BOX,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{PACK OF 72 RETROSPOT CAKE CASES,STRAWBERRY CERAMIC TRINKET BOX,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.7778,0.0068,12.7505,21
"{JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.7778,0.0068,12.7505,21
"{LUNCH BAG SPACEBOY DESIGN,PARTY BUNTING,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG SPACEBOY DESIGN,PARTY BUNTING,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.7778,0.0068,12.7505,21
"{JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.006,0.7742,0.0078,12.6917,24
